Unnamed: 0,lying,sitting,standing,walking,running,cycling,Nordic walking,ascending stairs,descending stairs,vacuum cleaning,ironing,rope jumping
lying,190,0,2,0,0,0,0,0,0,2,0,0
sitting,0,153,4,0,0,36,0,0,0,3,75,0
standing,0,13,133,0,0,0,0,0,0,17,13,0
walking,0,1,1,3,0,0,0,0,0,4,0,0
running,0,0,0,0,0,0,0,0,0,0,0,0
cycling,0,0,0,0,0,11,0,0,0,16,0,0
Nordic walking,0,2,0,0,0,0,0,0,0,0,0,0
ascending stairs,0,0,2,0,0,0,0,93,0,14,1,0
descending stairs,0,0,7,2,0,0,0,1,105,4,2,0
vacuum cleaning,0,0,0,0,0,0,0,0,0,155,3,0
ironing,0,3,2,0,0,0,0,0,0,56,164,0
rope jumping,0,0,0,0,0,0,0,0,0,0,0,0
